Test Size,Thread/Process Count,Serial Time,Parallel Time,Distributed Time
2,2,0.4365476369857788,0.41416001319885254,0.2557300329208374
2,4,0.41870546340942383,0.4237689971923828,0.296095609664917
2,8,0.4087580442428589,0.4121220111846924,0.3635573387145996
3,2,0.40281927585601807,0.4075115919113159,0.25897419452667236
3,4,0.40809834003448486,0.5509755611419678,0.2760969400405884
3,8,0.4162660837173462,0.41583335399627686,0.36606740951538086
4,2,0.4335545301437378,0.4350653886795044,0.27040040493011475
4,4,0.4174703359603882,0.4206664562225342,0.28145813941955566
4,8,0.4365353584289551,0.4204998016357422,0.35770976543426514
